number,academic,conduct,year
1276,66.67,89,4
1277,46.27,86,4
1278,76.45,88,4
1279,67.73,86,4
1280,38.41,81,3
1281,79.11,88,4
1282,70.53,88,4
1283,60.2,89,4
1284,66.95,87,4
1285,56.59,86,4
1286,66.95,88,4
1287,64.32,87,4
1288,80.7,87,4
1289,85.89,91,4
1290,86.79,91,4
1291,70.84,87,4
1292,67.8,86,4
1293,84.67,87,4
1294,76.68,88,4
1295,69.52,86,4
1296,65,89,4
1297,59.18,87,4
1298,79.71,88,4
1299,78.41,88,4
1300,63.5,86,4
1301,74.12,86,4
1302,73.3,91,4
1303,60.4,87,4
1304,72.46,88,4
1305,66.47,84,4
1306,77.1,88,4
1307,84.35,89,4
1308,74.29,86,4
1309,79.21,90,4
1310,67.57,87,4
1311,60.06,86,4
1312,64.33,85,4
1313,83,86,4
1314,79.14,88,4
1315,75.16,86,4
1316,82.06,86,4
1317,79,88,4
1318,64.3,85,4
1319,75.5,88,4
1320,61.15,86,4
1321,52.27,86,4
1322,66.79,84,4
1323,59.05,87,4
1324,79,88,4
1325,74.22,86,4
1326,84.07,94,4
1327,67.95,89,4
1328,74.39,84,4
1329,56.33,88,4
1330,48.27,86,3
1331,65.74,86,4
1332,82.11,89,4
1333,74.07,87,4
1334,76.19,89,4
1335,70.95,84,4
1336,61.75,86,3
1337,59.68,85,4
1338,82.19,88,4
1339,80.69,90,4
1340,45.75,84,4
1341,78.46,86,4
1342,80.45,90,4
1343,59.88,84,4
1344,74.3,87,4
1345,84.63,88,4
1346,83.48,88,4
1347,68.5,92,4
1348,64.04,87,4
1349,49.4,85,4
1350,58.56,86,4
1351,74.5,86,4
1352,69.73,85,4
1353,52.71,85,4
1354,80.52,90,4
1355,68.92,87,4
1356,71.87,87,4
1357,59.63,87,4
1358,67.25,89,4
1359,77.65,87,4
1360,72.14,88,4
1361,76.27,88,4
1362,69.45,84,4
1363,55.53,87,4
1364,84.42,87,4
1365,53.17,87,4
1366,80.73,87,4
1367,78.28,88,4
1368,79,90,4
1369,74.13,88,4
1370,55.5,87,4
1371,72.4,89,4
1372,80.8,87,4
1373,78.62,91,4
1374,84.37,88,4
1375,79.76,89,4
1376,74.59,88,4
1377,73.39,88,4
1378,80.47,88,4
1379,64.35,84,4
1380,80.26,87,4
1381,66.63,88,4
1382,68.77,88,4
1383,74.58,88,4
1384,76,88,4
1385,79.31,88,4
1386,65.5,87,4
1387,72.8,88,4
1388,67.96,87,4
1389,77.61,87,4
1390,33.47,85,3
1391,78.15,85,4
1392,64.14,87,4
1393,60.92,89,4
1394,73.6,87,4
1395,67.19,87,4
1396,78.73,88,4
1397,77.89,87,4
1398,60.77,87,4
1399,72.75,88,4
1400,72.28,89,4
1401,59.43,88,4
1402,50.4,87,4
1403,80.21,86,4
1404,77,87,4
1405,74.25,86,4
1406,81.56,86,4
1407,79.61,93,4
1408,75.5,87,4
1409,81.53,86,4
1410,71,86,4
1411,68.64,87,4
1412,84.24,87,4
1413,64.82,92,4
1414,63.27,87,3
1415,84.45,86,4
